GU,SQ1_2,AQ1_1,AQ1_2,AQ1_3,AQ1_4,AQ2_1,AQ2_2,AQ2_3,AQ2_4,AQ2_5,AQ3,AQ4,AQ7_1,AQ7_2,AQ7_3,AQ7_4,AQ23_1,AQ23_2,AQ23_3,AQ23_4,AQ30_1,AQ30_2,AQ30_3,AQ30_4,AQ30_5,DEW2,wtb1
110,2,2,2,2,3,2,3,2,1,3,2,3,3,3,3,4,5,5,3,3,9,8,8,8,8,4,30.348
110,1,4,4,4,4,3,2,3,1,2,4,4,2,3,3,2,5,4,3,3,7,7,5,6,7,2,78.907
110,1,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,5,5,4,3,9,8,6,8,8,5,77.118
110,2,5,3,4,5,4,5,4,4,4,4,4,4,5,3,4,5,5,4,3,9,7,7,8,8,5,77.951
110,1,3,3,3,4,4,3,4,3,4,3,3,4,3,3,4,5,5,4,3,9,9,7,8,8,2,114.351
110,1,4,2,2,4,4,3,4,3,4,3,4,4,3,4,5,5,5,4,3,10,9,7,8,8,6,165.141
110,2,3,3,4,5,4,5,4,3,4,4,4,5,4,2,3,5,5,4,3,7,8,8,8,8,6,134.311
110,2,4,2,4,3,4,3,3,3,4,3,4,4,3,2,4,5,5,4,3,7,8,6,7,7,3,89.06
110,1,3,2,2,3,3,3,3,1,3,4,2,3,4,2,4,5,4,3,2,9,8,8,8,8,3,155.427
110,1,3,2,4,3,3,2,3,1,3,4,2,4,3,3,5,5,5,3,2,9,8,8,8,8,4,83.532
110,2,4,2,3,2,4,3,2,2,3,3,4,3,4,3,5,5,4,3,2,5,7,7,8,8,4,90.366
110,1,3,2,4,3,4,4,5,3,4,4,3,4,4,4,4,5,5,3,3,9,6,6,6,7,2,234.957
110,1,4,2,4,4,3,4,3,3,4,3,3,4,5,3,4,5,4,3,3,9,8,7,8,8,5,88.513
110,2,4,2,4,4,4,5,4,3,4,3,3,4,4,4,4,5,4,3,3,9,8,7,8,8,4,50.478
110,1,4,2,4,3,4,4,3,3,4,3,3,4,3,1,3,5,5,4,3,8,7,8,8,8,1,87.292
110,1,4,4,4,4,3,4,5,3,4,3,3,4,4,4,4,5,4,4,2,8,8,7,8,8,5,77.118
110,2,4,2,4,4,4,5,4,3,4,3,3,4,4,2,4,5,5,4,2,8,9,7,8,8,5,77.951
110,1,4,2,3,4,3,4,3,3,4,3,3,4,3,2,4,5,5,4,3,8,7,7,7,8,2,114.351
110,1,4,3,5,4,4,4,3,3,4,3,3,4,4,3,5,5,4,3,2,9,8,7,8,8,4,40.654
110,2,4,4,4,4,4,4,4,4,4,3,3,5,4,3,5,5,4,4,3,8,8,8,8,8,4,43.98
110,1,3,2,4,3,4,5,4,3,4,4,3,4,4,4,4,5,4,3,2,7,7,7,6,8,2,114.351
110,1,3,2,4,3,3,2,4,2,3,4,2,4,5,3,4,5,5,4,3,9,8,7,8,8,4,83.532
110,2,4,2,3,2,4,3,2,2,2,3,4,3,4,2,4,5,4,3,2,7,7,8,8,9,4,90.366
110,1,3,2,2,4,3,4,3,3,4,3,4,4,4,2,4,5,4,3,2,9,8,7,8,8,1,156.269
110,1,4,4,5,4,4,5,4,3,4,4,3,4,5,3,4,5,4,3,2,7,8,7,8,8,4,9.486
110,2,5,3,4,4,4,5,4,3,5,3,4,4,4,4,4,5,4,3,3,8,7,7,8,8,4,10.262
110,2,4,4,4,4,4,3,4,2,4,4,4,3,4,2,2,5,5,3,3,7,6,6,7,7,2,20.797
110,1,3,2,2,3,4,4,3,3,3,2,4,4,3,3,5,5,5,4,3,8,7,7,8,8,6,52.151
110,2,4,2,4,3,3,3,2,1,4,4,2,4,5,3,3,5,5,4,2,7,5,5,5,7,6,42.415
110,1,3,2,4,3,4,5,4,3,3,4,2,5,4,3,5,5,5,4,3,8,7,7,8,8,6,10.849
110,2,3,3,4,4,4,5,4,3,3,5,4,5,4,3,5,5,5,4,2,5,6,6,7,7,5,12.551
110,2,4,2,3,3,3,4,5,3,3,4,5,4,3,2,4,4,5,4,3,5,6,6,7,8,3,5.851
110,1,3,2,4,4,3,2,3,1,3,4,2,4,3,3,4,5,5,3,3,9,7,8,7,7,4,19.491
110,2,4,2,2,3,4,3,2,2,3,3,4,3,4,2,4,5,4,3,2,5,6,7,8,7,4,21.085
110,1,3,2,4,3,4,4,5,4,4,4,3,4,5,3,4,5,5,3,3,9,5,7,6,6,2,54.823
110,1,4,4,4,4,4,4,3,4,4,4,4,4,5,3,4,5,5,3,2,9,7,7,8,7,5,17.994
110,2,2,2,4,3,3,4,4,3,4,2,2,4,3,3,4,5,5,3,3,8,8,7,8,7,5,18.188
110,2,4,3,3,4,4,3,4,3,3,4,1,4,5,3,4,5,4,3,3,8,8,7,8,7,3,8.479
110,2,4,3,5,4,4,4,3,4,4,3,3,4,5,3,4,5,5,4,3,8,8,7,8,7,4,15.203
110,2,4,3,3,4,4,5,4,4,4,4,3,4,3,3,4,5,5,5,4,8,6,7,8,7,6,18.944
110,2,4,3,3,4,4,5,4,4,4,3,3,4,4,4,4,5,4,5,5,7,6,7,6,6,3,42.93
110,2,4,3,3,3,5,5,4,5,4,4,4,5,5,3,3,5,4,3,2,9,8,7,6,5,3,20.894
110,2,3,3,3,3,4,3,4,3,4,4,2,4,5,3,4,5,4,3,3,7,7,6,7,6,6,327.249
110,1,4,3,3,4,5,4,4,3,3,4,2,5,4,3,5,5,5,5,3,8,6,7,6,7,6,67.382
110,2,3,4,4,4,4,5,4,4,4,4,4,4,5,3,4,5,5,4,3,7,5,7,6,7,5,77.951
110,2,4,2,3,3,3,4,5,4,3,4,5,4,3,3,5,4,5,4,2,8,8,8,7,7,3,36.339
110,1,3,3,3,4,3,3,4,4,5,4,2,4,5,3,4,5,5,4,3,10,7,8,8,7,5,63.474
110,2,4,2,4,5,3,4,5,4,4,3,3,4,4,4,4,5,4,4,3,7,7,8,7,7,4,36.199
110,1,3,3,5,4,3,4,3,4,4,3,4,4,5,3,5,5,4,3,2,7,8,7,8,7,1,62.598
110,2,4,2,3,2,4,3,3,2,2,4,4,4,3,3,5,5,4,3,2,7,5,6,7,7,4,103.718
110,2,4,3,3,3,2,3,3,3,2,5,4,4,5,3,4,5,4,3,1,9,4,5,6,6,2,210.196
110,2,3,2,4,3,4,5,4,4,4,4,3,4,5,3,4,5,4,3,1,10,6,4,5,8,2,210.196
110,2,5,3,3,4,4,3,3,4,4,3,3,5,4,3,3,5,5,4,2,9,7,8,8,7,5,132.544
110,1,2,1,3,2,3,2,3,4,3,3,4,4,3,2,4,5,5,5,2,7,7,8,8,7,6,75.06
110,2,4,2,4,4,3,2,3,3,4,4,4,4,3,2,4,5,4,3,1,7,7,6,7,6,6,61.048
110,1,4,2,4,4,4,5,4,4,4,3,3,4,4,2,4,5,4,3,2,9,7,8,7,7,4,55.656
110,2,4,4,4,4,3,4,3,4,4,4,4,4,4,2,4,5,4,3,2,8,8,8,7,7,4,60.21
110,1,4,3,3,5,3,3,4,5,4,4,3,4,4,3,5,5,5,3,1,7,8,7,6,7,5,63.474
110,2,3,2,4,4,3,3,4,5,5,2,1,4,5,3,3,5,4,4,2,9,7,6,7,7,4,36.199
110,1,3,2,4,2,3,3,4,4,4,3,4,3,4,3,3,4,4,3,1,9,7,6,8,7,1,62.598
110,1,4,3,3,3,4,5,4,4,4,3,3,4,4,4,4,5,4,5,3,9,8,7,8,7,4,48.491
110,2,4,2,4,5,4,4,3,4,4,4,3,4,4,4,4,5,5,3,2,9,7,8,8,7,4,52.458
110,1,2,1,3,4,4,5,4,4,4,4,4,4,3,2,4,4,5,5,1,7,7,8,7,7,6,75.06
110,2,3,2,4,4,3,2,3,4,5,4,4,4,3,3,5,4,5,3,1,7,7,8,7,7,6,61.048
110,2,3,3,3,4,4,3,3,4,2,4,2,5,4,4,5,5,5,4,1,9,7,7,8,7,6,241.748
110,1,3,3,3,2,3,4,4,5,3,4,3,5,5,4,5,5,4,4,2,8,8,7,7,8,6,108.776
110,2,5,3,4,5,3,4,4,5,4,4,3,5,5,4,3,5,5,3,1,8,8,7,7,8,6,88.469
110,2,3,3,3,2,3,4,4,5,3,4,3,5,5,4,5,5,5,5,1,8,8,8,8,7,6,88.469
110,1,5,3,4,5,3,4,4,4,4,4,3,5,5,4,4,5,5,4,1,8,8,7,7,8,6,108.776
110,1,4,2,3,4,4,5,4,3,3,4,3,3,5,4,4,5,5,4,1,10,7,7,8,7,2,211.874
110,2,3,3,3,4,5,5,4,5,4,3,2,3,5,4,4,5,5,4,1,8,7,8,7,7,2,165.145
110,1,5,3,4,4,5,4,4,5,4,4,3,3,5,4,4,5,5,3,1,8,8,6,7,7,6,108.776
110,2,3,4,4,4,3,4,4,5,4,4,3,3,5,5,4,4,5,5,1,8,8,9,7,8,6,88.469
110,2,4,3,3,4,4,4,4,3,3,4,3,4,3,3,5,5,5,4,2,9,7,7,8,8,6,241.748
110,1,3,3,4,3,3,2,3,2,2,3,3,3,5,4,4,5,4,3,1,9,9,8,8,7,5,77.118
110,2,4,4,4,4,3,2,3,3,2,3,3,4,5,5,4,5,5,5,1,9,9,8,8,7,5,77.951
110,1,4,3,3,4,5,4,4,3,4,4,3,4,5,5,3,5,4,2,1,8,8,8,7,7,2,114.351
110,1,3,1,3,3,4,3,3,4,3,4,3,5,5,4,4,5,5,4,1,8,8,7,7,8,6,75.06
110,2,3,3,3,3,4,3,4,4,5,3,3,3,5,4,3,5,5,4,1,9,9,8,8,7,5,86.833
110,1,4,4,4,4,5,4,5,4,4,4,3,3,5,5,5,5,5,3,1,8,8,7,7,8,4,40.654
